role,name,team
student,junkkhoy,CS2103-T19-1
student,LimZhengJieBenjamin,CS2103-T19-2
student,RubaP,CS2103-T19-3
student,jolynnn8D,CS2103-T19-1
student,emer7,CS2103-T19-2
student,joanneong,CS2103-T19-3
student,jothipillay,CS2103-T19-1
student,Qing-Yuan,CS2103-T19-3
student,j-lum,CS2103-T19-2
student,Tejas2805,CS2103-T19-2
student,ongaaron96,CS2103T-F16-1
student,sinhayash,CS2103T-F16-1
student,lumwb,CS2103T-F16-2
student,kush1509,CS2103T-F16-3
student,kexiaowen,CS2103T-F16-1
student,nishantbudhdev,CS2103T-F16-2
student,bluesky0911,CS2103T-F16-3
